doc_id,TLG_λύπ*,TLG_ἄλγ*,TLG_ὀδύν*,TLG_πόνο*,Title_ENG,title_latin
tlg0086.tlg001,,,,,Aristotelis Analytica Priora et Posteriora; Aristotelis Analytica Priora et Posteriora,Analytica Priora et Posteriora
tlg0086.tlg002,12,0,0,0,De anima; Aritoteles De anima,De anima
tlg0086.tlg005,,,,,De caelo; Aristoteles De coelo et De generatione et corruptione,De caelo
tlg0086.tlg006,,,,,Categoriae; Aristotelis Opera,Categoriae
tlg0086.tlg008,,,,,De divinatione per somnum; Aristotelis Opera,De divinatione per somnum
tlg0086.tlg009,77,5,1,7,"Eudemian Ethics (Greek). Machine readable text; Aristotle's Eudemian Ethics, ed. F. Susemihl",Ethica eudemia
tlg0086.tlg010,156,6,0,10,"Nicomachean Ethics; Machine readable text; ed. J. Bywater, Aristotle's Ethica Nicomachea",Ethica nicomachea
tlg0086.tlg014,5,12,3,40,Historia animalium; Aristotelis Opera,Historia animalium
tlg0086.tlg016,,,,,De insomniis; Aristotelis Opera,De insomniis
tlg0086.tlg017,,,,,De interpretatione; Aristotelis Opera,De interpretatione
tlg0086.tlg018,,,,,"De iuventute et senectute, De vita et morte; Aristotelis Opera",De iuventute et senectute
tlg0086.tlg020,,,,,De longitudine et brevitate vitae; Aristotelis Opera,De longitudine et brevitate vitae
tlg0086.tlg021,0,0,0,5,De animalium incessu; Aristotelis De animalium motione et De animalium incessu,De animalium incessu
tlg0086.tlg022,,,,,Magna Moralia; Aristotelis Quae Feruntur Magna Moralia,Magna Moralia
tlg0086.tlg024,,,,,De memoria et reminiscentia; Aristotelis Opera,De memoria et reminiscentia
tlg0086.tlg025,,,,,"Metaphysics (Greek). Machine readable text; Aristotle's Metaphysics, ed. W.D. Ross",Metaphysica
tlg0086.tlg026,,,,,Meteorologica; Aristotelis Meteorologicorum Libri Quattuor,Meteorologica
tlg0086.tlg029,,,,,"Economics (Greek). Machine readable text; Aristotle in 23 Volumes, Vol. 18",Economica
tlg0086.tlg030,3,1,1,6,De partibus animalium; Aristotelis De Partibus Animalium; Aristotelis Opera,De partibus animalium
tlg0086.tlg031,,,,,Physica; Aristotelis Physica,Physica
tlg0086.tlg034,,,,,Ars Poetica; Aristotelis Opera,Ars Poetica
tlg0086.tlg035,11,0,0,18,"Politics (Greek). Machine readable text; ed. W. D. Ross, Aristotle's Politica; eu)nomi/as",Politica
tlg0086.tlg038,65,4,2,5,Rhetoric; Ars Rhetorica,Rhetorica
tlg0086.tlg040,,,,,De sophisticis elenchis; Aristotelis Opera,De sophisticis elenchis
tlg0086.tlg041,3,,,,De sensu et sensibilibus; Aristotelis Opera,De sensu et sensibilibus
tlg0086.tlg042,,,,,De somno et vigilia; Aristotelis Opera,De somno et vigilia
tlg0086.tlg044,21,0,0,0,Topica; Aristotelis Opera,Topica